id,,dana's annotations,carrie's annotations,agreement,adjudicated,84
313,"I am one of a handful of people living today who have seen firsthand the immense weight and awesome power of the presidency. And let me once again tell you this: The job is hard. It requires clearheaded judgment, a mastery of complex and competing issues, a devotion to facts and history, a moral compass, and an ability to listen — and an abiding belief that each of the 330,000,000 lives in this country has meaning and worth.

A president’s words have the power to move markets. They can start wars or broker peace. They can summon our better angels or awaken our worst instincts. You simply cannot fake your way through this job.",Neutral,Pessimistic,FALSE,Pessimistic,
314,"Now, we are here at the home of the UFCW Local 324. I want to thank Greg Conger and Rick Eiden and Greg … for welcoming us here, and all of the UFCW family. And thank Andrea Zinder for appearing on the free program. Thanks also to Art Brown and everybody from Buena Park who has made us so welcome.

And mostly, I want to thank all of you. One of the great things about campaigning across the country is to stand where I'm standing and look out at this audience and audiences like it, and really see America. Seeing what we are as a nation—I have this old-fashioned idea that we are stronger together. Stronger together when we make the economy work for everybody, not just those at the top. Stronger together when we knock down all the barriers that stand in the way of any American getting ahead and staying ahead.",Optimistic,Optimistic,TRUE,Optimistic,
315,"If you're no longer being denied a job because of your race, gender or disability or you've seen a rise in the minimum wage you're being paid, Teddy is your senator, too. And for children who are receiving health care thanks to the Children's Health Insurance Program, if you see a nurse at a community health center or if you are benefiting from the Medicare program that he fought to create – and just last month he returned to the Senate to save – Teddy is your senator, too. [Applause] If you're a child who is getting an early boost in life through Head Start or attending a better school or can go to college because a Pell Grant has made it more affordable – Teddy is your senator, too. [Applause] And if you're an eighteen-year-old who's going to vote for the first time – and I bet it will be for Barack Obama – Teddy's your senator, too. [Applause]",Neutral,Optimistic,FALSE,Neutral,
316,"The Department of [the] Treasury is acting to restore confidence in a key element of America's financial system: money market mutual funds. In the past, government insurance was not available for these funds, and the recent stresses on the markets have caused some to question whether these investments are safe and accessible. The Treasury Department['s] actions address that concern by offering government insurance for money market mutual funds. For every dollar invested in an insured fund, you'll be able to take a dollar out.

The Federal Reserve is also taking steps to provide additional liquidity to money market mutual funds, which will help ease pressure on our financial markets. These measures will act as grease for the gears of our financial system, which were at risk of grinding to a halt. They will support the flow of credit to households and businesses.",Neutral,Neutral,TRUE,Neutral,
317,"On Tuesday, Alton Sterling, father of five, was killed in Baton Rouge—approached by the police for selling CDs outside a convenience store. On Wednesday, Philando Castile, 32 years old, was killed outside St. Paul—pulled over by the police for a broken tail light. And last night in Dallas, during a peaceful protest related to those killings, there was a vicious, appalling attack. A sniper targeted police officers. He said he wanted to hurt white people. Twelve officers were shot, along with two civilians. Five—five—officers have died. We now know all their names: Brent Thompson, Michael Krol, Michael Smith, Lorne Ahrens, and Patrick Zamarripa. And as I was on my way here today, we heard reports of another shooting yesterday morning in Tennessee.",Neutral,Pessimistic,FALSE,Pessimistic,
318,"I realize that in speaking in behalf of the minority report on civil rights as presented by Congressman DeMiller of Wisconsin that I'm dealing with a charged issue -- with an issue which has been confused by emotionalism on all sides of the fence. I realize that there are here today friends and colleagues of mine, many of them, who feel just as deeply and keenly as I do about this issue and who are yet in complete disagreement with me.

My respect and admiration for these men and their views was great when I came to this convention. It is now far greater because of the sincerity, the courtesy, and the forthrightness with which many of them have argued in our prolonged discussions in the platform committee.",Neutral,Optimistic,FALSE,Optimistic,
319,"And I thank the Manhattan Institute for all you have done. I appreciate the fact that I am here in a fabulous city to give this speech. (Applause.) People say, are you confident about our future? And the answer is, absolutely. And it's easy to be confident when you're a city like New York City. After all, there's an unbelievable spirit in this city. This is a city whose skyline has offered immigrants their first glimpse of freedom. This is a city where people rallied when that freedom came under attack. This is a city whose capital markets have attracted investments from around the world and financed the dreams of entrepreneurs all across America. This is a city that has been and will always be the financial capital of the world. (Applause.)

And I am grateful to be in the presence of two men who serve ably and nobly New York City -- Mayor Koch and Mayor Giuliani. Thank you all for coming. Glad you're here. (Applause.) I thank the Manhattan Institute Board of Trustees and its Chairman Paul Singer for doing good work, being a good policy center. (Applause.) And before I begin, I must say, I would hope that Ray Kelly would tell New York's finest how much I appreciate the incredible hospitality that we are always shown here in New York City. You're the head of a fabulous police force, and we thank you very much, sir. (Applause.)",Optimistic,Optimistic,TRUE,Optimistic,
320,"So I'm one of those lucky ten percenters to beat the odds. I went to UCLA undergrad and then USC for law school. I've gotten a piece of the American dream, but now I'm running to make sure others have that same opportunity and that in a nutshell is why I'm running for Congress. Now I can tell you that when I was- when I was in college I walked into the career center one day and I said hey I see Washington on television all the time and I'm a political science major, maybe I could visit one day. And it was a counselor who said to me, “Nanette, you could do whatever you want,” and I said I have no political connections, my parents are not political donors, how would I ever get a job in Washington? And he said just apply.",Neutral,Optimistic,FALSE,Neutral,
321,"Officers graduating that year helped fulfill that mission, defeating Japan and Germany, and then reconstructing those nations as allies. West Point graduates of the 1940s saw the rise of a deadly new challenge -- the challenge of imperial communism -- and opposed it from Korea to Berlin, to Vietnam, and in the Cold War, from beginning to end. And as the sun set on their struggle, many of those West Point officers lived to see a world transformed.

History has also issued its call to your generation. In your last year, America was attacked by a ruthless and resourceful enemy. You graduate from this Academy in a time of war, taking your place in an American military that is powerful and is honorable. Our war on terror is only begun, but in Afghanistan it was begun well. (Applause.)",Neutral,Pessimistic,FALSE,Pessimistic,
322,"The President. If any situation should arise that would require my presence here, naturally I will do that. So, that will be a decision that awaits what's going to happen. May I just—because I have to be back in there for another appointment—may I just say one thing on top of this? With all this talk of penalties and everything else, I hope that you'll emphasize, again, the possibility of termination, because I believe that there are a great many of those people—and they're fine people—who have been swept up in this and probably have not really considered the result—the fact that they had taken an oath, the fact that this is now in violation of the law, as that one supervisor referred to with regard to his children. And I am hoping that they will in a sense remove themselves from the lawbreaker situation by returning to their posts.",Neutral,Pessimistic,FALSE,Neutral,
323,"Now, my fellow Americans, the tide has been running against freedom. Our people have followed false prophets. We must, and we shall, return to proven ways -- not because they are old, but because they are true. We must, and we shall, set the tides running again in the cause of freedom. And this party, with its every action, every word, every breath, and every heartbeat, has but a single resolve, and that is freedom -- freedom made orderly for this Nation by our constitutional government; freedom under a government limited by the laws of nature and of nature's God; freedom balanced so that order lacking liberty [sic] will not become the slavery of the prison shell [cell]; balanced so that liberty lacking order will not become the license of the mob and of the jungle.",Optimistic,Pessimistic,FALSE,Optimistic,
324,"Republicans who used to advocate bimetallism now try to convince themselves that the gold standard is good; Republicans who were formerly attached to the greenback are now seeking an excuse for giving national banks control of the nation's paper money; Republicans who used to boast that the Republican party was paying off the national debt are now looking for reasons to support a perpetual and increasing debt; Republicans who formerly abhorred a trust now beguile themselves with the delusion that there are good trusts, and bad trusts, while in their minds, the line between the two is becoming more and more obscure; Republicans who, in times past, congratulated the country upon the small expense of our standing army, are now making light of the objections which are urged against a large increase in the permanent military establishment; Republicans who gloried in our independence when the nation was less powerful now look with favor upon a foreign alliance; Republicans who three years ago condemned ""forcible annexation"" as immoral and even criminal are now sure that it is both immoral and criminal to oppose forcible annexation. That partisanship has already blinded many to present dangers is certain; how large a portion of the Republican party can be drawn over to the new policies remains to be seen.",Pessimistic,Pessimistic,TRUE,Pessimistic,
325,"There are today upwards of sixty millions of Socialists, loyal, devoted adherents to this cause, regardless of nationality, race, creed, color, or sex. They are all making common cause. They are spreading with tireless energy the propaganda of the new social order. They are waiting, watching, and working hopefully through all the hours of the day and the night. They are still in a minority. But they have learned how to be patient and to bide their time. They feel -- they know, indeed -- that the time is coming, in spite of all opposition, all persecution, when this emancipating gospel will spread among all the peoples, and when this minority will become the triumphant majority and, sweeping into power, inaugurate the greatest social and economic change in history.",Neutral,Optimistic,FALSE,Optimistic,
326,"We will honor the sacrifices of our men and women in uniform and their families who have made us the land of the free and the home of the brave, to build a better future worthy of their sacrifice.

And we must honor and respect the aspirations of our children. Elections are about the future, and what we do for our children’s future. So thank you all for making the future better for all of American’s children.

God bless you. God bless America. Thank you all very much.",Optimistic,Optimistic,TRUE,Optimistic,
327,"In the meantime, let me just say this: I stated during the campaign and I repeat now, I will not stand by and see those of you who are dependent on social security deprived of the benefits you've worked so hard to earn. I make that pledge to you as your President. You have no reason to be frightened. You will continue to receive your checks in the full amount due you. In any plan to restore fiscal integrity of social security, I personally will see that the plan will not be at the expense of you who are now dependent on your monthly social security checks.",Neutral,Optimistic,FALSE,Neutral,
328,"Now is the time for us to come together and remember that our governor’s office does not belong to any one person or any political party. It belongs to all of us, the people of Michigan. [cheers and applause]

We have so many challenges in front of us and now more than ever we need people on both sides of the aisle to work together in Lansing so that we can focus on what really matters. And that is getting things done that will improve people’s lives right now. That is how we clean up drinking water. That is how we ensure every student in our state has a great public education opportunity. It’s how we expand access to affordable health care. It’s how we bring down the cost of car insurance and yes, it’s how we fix the damn roads. [cheers and applause]",Neutral,Optimistic,FALSE,Optimistic,
329,"What a great night, God is so good all the time.

Thank you New Hampshire for the love, the kindness, the support, and a great night here tonight, thank you so much. I want to first say thank you to my husband who I know is watching right now, I love you, we're excited to have you. I want to thank my kids who are here, Rena and Nalin and Josh who have really kind of stepped up and just given me the support I need. You really need to pull on your family when something like this happens and I am incredibly blessed by their support. I have my parents at home and I will always say that the way they raised me to know that we lived in the best country in the world, but to also know that the best way you appreciate your blessings is to give back. Thank you mom and dad. I love you so much.",Optimistic,Optimistic,TRUE,Optimistic,
330,"Back in April while in the hospital I had, as you can readily understand, a lot of time for reflection. And one day I decided to send a personal, handwritten letter to Soviet President Leonid Brezhnev reminding him that we had met about 10 years ago in San Clemente, California, as he and President Nixon were concluding a series of meetings that had brought hope to all the world. Never had peace and good will seemed closer at hand.

I'd like to read you a few paragraphs from that letter. “Mr. President: When we met, I asked if you were aware that the hopes and aspirations of millions of people throughout the world were dependent on the decisions that would be reached in those meetings. You took my hand in both of yours and assured me that you were aware of that and that you were dedicated with all your heart and soul and mind to fulfilling those hopes and dreams.”",Neutral,Neutral,TRUE,Neutral,
331,"The first element of this individual liberty is the freedom of speech: the right to express and communicate ideas, to set oneself apart from the dumb beasts of field and forest; the right to recall governments to their duties and to their  obligations; above all, the right to affirm one's membership and allegiance to the body politic -- to society -- to the men with whom we share our land, our heritage, and our children's future.

Hand in hand with freedom of speech goes the power to be heard, to share in the decisions of government which shape men's lives. Everything that makes man's life worthwhile -- family, work, education, a place to rear one's children and a place to rest one's head -- all this depends on the decisions of government; all can be swept away by a government which does not heed the demands of its people, and I mean all of its people. Therefore, the essential humanity of man can be protected and preserved only where government must answer -- not just to the wealthy, not just to those of a particular religion, not just to those of a particular race, but to all of the people.",Neutral,Optimistic,FALSE,Neutral,
332,"This conference is not just about the Duke lacrosse case. It's about a kind of event that has taken on a central place in modern American culture: the legal case that creates a national community of attention, the case the public consumes every “fact” of with endless appetite for more. Cases like this typically combine elements of scandal, and celebrity, and other highly volatile social ingredients, race and sex perhaps chief among them. And having become one of America’s principal forms of shared public life, these cases highlight crucial problems of our culture -- problems of achieving justice in a media-saturated society, problems of fundamental fairness to individuals, and problems in the way the American public is informed and misinformed about the world we live in together.",Neutral,Pessimistic,FALSE,Pessimistic,
333,"I have let them down.

I have let my country down.

And I have let myself down.

I recognize that by saying that I'm deeply sorry, it might not be enough and  sufficient to address the pain and the hurt that I have caused you. Therefore, I want to ask for your forgiveness for my actions, and I hope you can find it in your heart to forgive me.",Pessimistic,Pessimistic,TRUE,Pessimistic,
334,"In a far-away island, when a queen dies, her first favorite is done the honor to be buried alive with her. The funeral procession of the NRA (another one of these new-deal schisms or isms) is about ready to occur. It is said that General Johnson's speech of Monday night to attack me was delivered on the eve of announcing the publication of his obituary in the Red Book Magazine. Seems then that soon this erstwhile prince of the deranged alphabet makes ready to appear at the funeral of NRA like unto the colored lady in Mississippi who there asserted: ""I is de wife of dese remains.""",Neutral,Pessimistic,FALSE,Neutral,
335,"Now, this was important because I have firmly believed since Desert Shield that it is necessary for the strength of our democracy that the Military and the Press Corps maintain a strong, mutually respectful and enabling relationship. This continues to be problematic for our country, especially during times of war. Now one of the greatest military correspondents of our time -- the award that was just presented is named after him -- Joe Galloway, made me an absolute believer when he joined the 24th infantry division during Desert Storm. That was the first time I met Joe, and he and I have a friendship that dates back to winter in -- of 1990.

Now today -- today I will attempt to do two things. First I will give you my assessment of the Military and Press relationship as I see it -- and I hope that you take it for what it is; it is the observation of a military commander that has had extensive Press engagements, both good and bad -- and then I will provide you some of my thoughts on the current state of the war effort.",Neutral,Neutral,TRUE,Neutral,
336,"In this mass of newspaper clippings which I have here upon my desk, and which I shall not trouble the Senate to read unless it is desired, and which represent but a small part of the accumulation clipped from the daily press of the country in the last three months, I find other Senators, as well as myself, accused of the highest crimes of which any man can be guilty --treason and disloyalty -- and, sir, accused not only with no evidence to support the accusation, but without the suggestion that such evidence anywhere exists. It is not claimed that Senators who opposed the declaration of war have since that time acted with any concerted purpose either regarding war measured or any others. They have voted according to their individual opinions, have often been opposed to each other on bills which have come before the Senate since the declaration of war, and, according to my recollection, have never all voted together since that time upon any single proposition upon which the Senate has been divided.",Pessimistic,Pessimistic,TRUE,Pessimistic,
337,"The Human Rights Commission was given as its first and most important task the preparation of an International Bill of Rights. The General Assembly, which opened its third session here in Paris a few days ago, will have before it the first fruit of the Commission's labors in this task, that is the International Declaration of Human Rights.

The Declaration was finally completed after much work during the last session of the Human Rights Commission in New York in the spring of 1948. The Economic and Social Council has sent it without recommendation to the General Assembly, together with other documents transmitted by the Human Rights Commission.",Neutral,Neutral,TRUE,Neutral,
338,"Your generation is living in one of the most exciting, hopeful times in Soviet history. It is a time when the first breath of freedom stirs the air and the heart beats to the accelerated rhythm of hope, when the accumulated spiritual energies of a long silence yearn to break free. I am reminded of the famous passage near the end of Gogol's ""Dead Souls."" Comparing his nation to a speeding troika, Gogol asks what will be its destination. But he writes, ""There was no answer save the bell pouring forth marvelous sound.""

We do not know what the conclusion will be of this journey, but we're hopeful that the promise of reform will be fulfilled. In this Moscow spring, this May 1988, we may be allowed that hope: that freedom, like the fresh green sapling planted over Tolstoy's grave, will blossom forth at last in the rich fertile soil of your people and culture. We may be allowed to hope that the marvelous sound of a new openness will keep rising through, ringing through, leading to a new world of reconciliation, friendship, and peace.",Optimistic,Optimistic,TRUE,Optimistic,
339,"So many people joined us — supported us — as we carried forward with this simple but fundamental message, and that it is time for Americans to join hands instead of pointing fingers. It is time to turn back the division and the hate and the exclusion and the bitterness. And it is time to work together, to lift up those who are left out, and to bring people with us instead of shoving them away. I believe — and it is the reason I’m up here — that we are never going to out-divide the divider-in-chief. We must as Americans dream bigger than that, we have to be better than that because if we spend the next four months dividing our party and going at each other, we will spend the next four years watching Donald Trump tear apart this country. Texans, we need to unite our party and our country. And to do it not just with our words but with our actions. It is up to us, all of us, to put our country back together, to heal this country and then to build something even greater. I believe we can do this together. And that is why today I am ending my campaign and endorsing Joe Biden for President.",Optimistic,Optimistic,TRUE,Optimistic,
340,"I guess you know that I have just come from Geneva and talks with General Secretary Gorbachev. In the past few days, the past 2 days, we spent over 15 hours in various meetings with the General Secretary and the members of his official party. And approximately 5 of those hours were talks between Mr. Gorbachev and myself, just one on one. That was the best part—our fireside summit. There will be, I know, a great deal of commentary and opinion as to what the meetings produced and what they were like. There were over 3,000 reporters in Geneva, so it's possible there will be 3,000 opinions on what happened. So, maybe it's the old broadcaster in me, but I decided to file my own report directly to you.
We met, as we had to meet. I called for a fresh start, and we made that start. I can't claim that we had a meeting of the minds on such fundamentals as ideology or national purpose, but we understand each other better, and that's a key to peace. I gained a better perspective; I feel he did, too. It was a constructive meeting; so constructive, in fact, that I look forward to welcoming Mr. Gorbachev to the United States next year. And I have accepted his invitation to go to Moscow the following year. We arranged that out in the parking lot. I found Mr. Gorbachev to be an energetic defender of Soviet policy. He was an eloquent speaker and a good listener.",Neutral,Neutral,TRUE,Neutral,
341,"And he said, ""When my daughter was old enough to vote, I took her to the polling place, and we went together to two voting machines side-by-side. And I know you're not supposed to linger in the ballot booth. But I couldn't vote. I put my ear right next to that booth until I heard my daughter vote. We don't miss votes at our house,"" he said.
This is a day that the Lord hath made; let us rejoice and be glad in it. And let us remember that here on Earth, God's work must truly be our own. We have work to do. But if we do it and if we remember, like Jesus, that even the man who could not reach the pool at Bethesda, we will all go forward on that bridge to the 21st century together.",Optimistic,Neutral,FALSE,Optimistic,
342,"With all the strength and all the good sense I have gained from life, with all the confidence of my family, my friends, and my dedicated staff impart to me, and with the good will of countless Americans I have encountered in recent visits to 40 States, I now solemnly reaffirm my promise I made to you last December 6: To uphold the Constitution; to do what is right as God gives me to see the right; and to do the very best I can for America.

God helping me, I will not let you down.",Optimistic,Optimistic,TRUE,Optimistic,
343,"Eight months ago, we adopted a new strategy to meet that objective, including a surge in U.S. forces that reached full strength in June. This week, General David Petraeus and Ambassador Ryan Crocker testified before Congress about how that strategy is progressing. In their testimony, these men made clear that our challenge in Iraq is formidable. Yet they concluded that conditions in Iraq are improving, that we are seizing the initiative from the enemy, and that the troop surge is working.

The premise of our strategy is that securing the Iraqi population is the foundation for all other progress. For Iraqis to bridge sectarian divides, they need to feel safe in their homes and neighborhoods. For lasting reconciliation to take root, Iraqis must feel confident that they do not need sectarian gangs for security. The goal of the surge is to provide that security and to help prepare Iraqi forces to maintain it. As I will explain tonight, our success in meeting these objectives now allows us to begin bringing some of our troops home.",Neutral,Neutral,TRUE,Neutral,
344,"In a sense, it's a question of loyalty that Father McBrien has asked me here today to discuss. Specifically, must politics and religion in America divide our loyalties? Does the ""separation between church and state"" imply separation between religion and politics? Between morality and government? Are these different propositions? Even more specifically, what is the relationship of my Catholicism to my politics? Where does the one end and other begin? Or are the two divided at all? And if they're not, should they be?

Hard questions.",Neutral,Neutral,TRUE,Neutral,
345,"When I think about the secretary of state race the thing that ties all of those other races together and all the issues that are so important to us, is the vote. And if you imagine our democracy being a door, the key of our democracy and the vote – the person who holds that key is our secretary of state. And I'm convinced we need to turn over those keys.

I'm excited about the enthusiasm that I feel as I'm traveling throughout the state, and I'm so happy that I have an opportunity to run for secretary of state. Anybody wanting to do business in our state, has to go through the secretary of state's office first, if they don't they can't get a bank account. And so, we know that, that is a gateway to connect with our small business owners. Right now, that office is more like a rubber stamp – taking people's articles stamping them, quadrupling their fees, and literally saying ‘go about your business’ with those actions.",Optimistic,Optimistic,TRUE,Optimistic,
346,"Four years ago, when President Obama and Vice President Biden were in the White House, they made us proud and their leadership made our country great. In that spirit we come together now, not to decry the darkness but to light a way forward for our country. That is the guiding purpose of House Democrats fighting for the people. We have sent the Senate bills for lower health care costs, for bigger paychecks, for cleaner government, protecting John Lewis’s voting rights, and enacting George Floyd Justice and Policing Act. We've sent the Senate bills to protect our Dreamers, LGBTQ equality, to prevent gun violence and to preserve our planet for future generations and even more. All of this is possible for America, who was standing in the way? Mitch McConnell and Donald Trump. Our nation faces the worst health and economic catastrophe in our history. More than 5 million Americans are infected by the coronavirus, over 170,000 have died. The science-based action the Heroes Act we enacted three months ago is essential to safeguard lives, livelihood, and the life of our democracy. And who is standing in the way? Mitch McConnell and Donald Trump. Instead of crushing the virus, they're trying to crush the Affordable Care Act and its pre-existing conditions benefit.",Pessimistic,Pessimistic,TRUE,Pessimistic,
347,"Now, you who found the courage to endure, to resist, to tear down the Wall, must found a new civil courage, the courage to build. The Berlin Wall is gone. Now our generation must decide, what will we build in its place? Standing here today, we can see the answer: a Europe where all nations are independent and democratic; where free markets and prosperity know no borders; where our security is based on building bridges, not walls; where all our citizens can go as far as their God-given abilities will take them and raise their children in peace and hope.

The work of freedom is not easy. It requires discipline, responsibility, and a faith strong enough to endure failure and criticism. And it requires vigilance. Here in Germany, in the United States, and throughout the entire world, we must reject those who would divide us with scalding words about race, ethnicity, or religion. I appeal especially to the young people of this nation; believe you can live in peace with those who are different from you. Believe in your own future. Believe you can make a difference and summon your own courage to build, and you will.",Optimistic,Optimistic,TRUE,Optimistic,
348,"The long and meticulous study and debate of which this Universal Declaration of Human Rights is the product means that it reflects the composite views of the many men and governments who have contributed to its formulation. Not every man nor every government can have what he wants in a document of this kind. There are of course particular provisions in the Declaration before us with which we are not fully satisfied. I have no doubt this is true of other delegations, and it would still be true if we continued our labors over many years. Taken as a whole the Delegation of the United States believes that this is a good document -- even a great document -- and we propose to give it our full support. The position of the United States on the various parts of the Declaration is a matter of record in the Third Committee. I shall not burden the Assembly, and particularly my colleagues of the Third Committee, with a restatement of that position here.",Neutral,Neutral,TRUE,Neutral,
349,"There is a humanitarian and security crisis on our southern border that requires urgent action. Thousands of children are being exploited by ruthless coyotes and vicious cartels and gangs. One in three women is sexually assaulted on the dangerous journey north. In fact, many loving mothers give their young daughters birth control pills for the long journey up to the United States because they know they may be raped or sexually accosted or assaulted. Nearly 50 migrants a day are being referred for urgent medical care.

Vast quantities of lethal narcotics are flooding through our border and into our communities, including meth, cocaine, heroin, and fentanyl. Drugs kill 78,000 Americans a year and cost our society in excess of $700 billion. Heroin alone kills 300 Americans a week, 90 percent of which comes across our southern border. We can stop heroin.",Neutral,Pessimistic,FALSE,Pessimistic,
350,"When we first arrived at Camp David, the first thing upon which we agreed was to ask the people of the world to pray that our negotiations would be successful. Those prayers have been answered far beyond any expectations. We are privileged to witness tonight a significant achievement in the cause of peace, an achievement none thought possible a year ago, or even a month ago, an achievement that reflects the courage and wisdom of these two leaders.
Through 13 long days at Camp David, we have seen them display determination and vision and flexibility which was needed to make this agreement come to pass. All of us owe them our gratitude and respect. They know that they will always have my personal admiration.
There are still great difficulties that remain and many hard issues to be settled. The questions that have brought warfare and bitterness to the Middle East for the last 30 years will not be settled overnight. But we should all recognize the substantial achievements that have been made.",Optimistic,Optimistic,TRUE,Optimistic,
351,"I’m very excited to talk to you about my husband, Donald Trump—who will make a fantastic President of these United States of America. The country we love with all our hearts.

I have known this man, Donald Trump, for 18 years. Donald is a wonderful husband, father, and grandfather. He’s strong, he’s determined, bold, and decisive. He’s also compassionate, thoughtful, giving, and loving. Donald cares so deeply about this country, he could no longer sit by and allow American jobs be lost. And Americans become less and less safe. Once given the opportunity, Donald will make America great again.",Optimistic,Optimistic,TRUE,Optimistic,
352,"Members of Congress, 5 short weeks ago I came to this House to speak to you about the state of the Union. We met then in time of war. Tonight, we meet in a world blessed by the promise of peace.
From the moment Operation Desert Storm commenced on January 16th until the time the guns fell silent at midnight 1 week ago, this nation has watched its sons and daughters with pride, watched over them with prayer. As Commander in Chief, I can report to you our armed forces fought with honor and valor. And as President, I can report to the Nation aggression is defeated. The war is over.",Neutral,Optimistic,FALSE,Neutral,
353,"I've known the darkest of days. Days of pain and uncertain recovery. But confronted by despair, I've summoned hope. Confronted by paralysis anesthesia, I responded with grit and determination. I put one foot in front of the other, I found one word and then I found another. My recovery is a daily fight but fighting makes me stronger. Words once came easily, today I struggle to speak but I have not lost my voice. America needs all of us to speak out, even when you have to fight to find the words. We are at a crossroads; we can let the shooting continue or we can act. We can protect our families, our future, we can vote, we can be on the right side of history. We must elect Joe Biden. He was there for me; he'll be there for you too. Join us in this fight. Vote, vote, vote. Thank you very much.",Optimistic,Pessimistic,FALSE,Optimistic,
354,"Historian John Naughton describes the Internet as an attempt to answer the following question: How do you design a network that is “future proof” -- that can support the applications that today’s inventors have not yet dreamed of?

The solution was to devise a network of networks that would not be biased in favor of any particular application. The Internet’s creators didn’t want the network architecture, or any single entity, to pick winners and losers because it might pick the wrong ones. Instead, the Internet’s open architecture pushes decision-making and intelligence to the edge of the network -- to end users, to the cloud, to businesses of every size and in every sector of the economy, to creators and speakers across the country and across the globe. In the words of Tim Berners-Lee, the Internet is a “blank canvas” allowing anyone to contribute and to innovate without permission.",Neutral,Neutral,TRUE,Neutral,
355,"In South Africa, women living in shanty towns came together to build a housing development outside Cape Town all on their own, brick by brick. And today, their community has grown to more than 50,000 homes for low income families, most of them female-headed.

In Liberia, a group of church women began a prayer movement to stop their country’s brutal civil war. It grew to include thousands of women who helped force the two sides to negotiate a peace agreement. And then, those women helped elect Ellen Johnson Sirleaf president, the first woman to lead an African nation.",Neutral,Neutral,TRUE,Neutral,
356,"As you know, this is my first public address since I took over my new job. When the New Frontiersmen rode into town, I locked myself in my office to do my homework and get my feet wet. But apparently I haven't managed yet to stay out of hot water. I seem to have detected a very nervous apprehension about what I might say or do when I emerged from that locked office for this, my maiden station break.

So first let me begin by dispelling a rumor. I was not picked for this job because I regard myself as the fastest draw on the New Frontier. Second, let me start a rumor. Like you, I have carefully read President Kennedy's messages about the regulatory agencies, conflict of interest, and the dangers of ex parte contacts. And, of course, we at the Federal Communications Commission will do our part. Indeed, I may even suggest that we change the name of the FCC to The Seven Untouchables.",Neutral,Neutral,TRUE,Neutral,
357,"From the beginning of our administration, we've taken strong steps to do something about this horror. Tonight I can report to you that we've made much progress. Thirty-seven federal agencies are working together in a vigorous national effort, and by next year our spending for drug law enforcement will have more than tripled from its 1981 levels. We have increased seizures of illegal drugs. Shortages of marijuana are now being reported. Last year alone over 10,000 drug criminals were convicted and nearly $250 million of their assets were seized by the DEA, the Drug Enforcement Administration.

And in the most important area, individual use, we see progress. In 4 years the number of high school seniors using marijuana on a daily basis has dropped from 1 in 14 to 1 in 20. The U.S. military has cut the use of illegal drugs among its personnel by 67 percent since 1980. These are a measure of our commitment and emerging signs that we can defeat this enemy. But we still have much to do.",Neutral,Neutral,TRUE,Neutral,
358,"In this situation, it becomes vital that our own country orient its policies in consonance with this basic evolutionary condition rather than pursue a course blind to the reality that the colonial era is now past and the Asian peoples covet the right to shape their own free destiny. What they seek now is friendly guidance, understanding, and support -- not imperious direction -- the dignity of equality and not the shame of subjugation. Their pre-war standard of life, pitifully low, is infinitely lower now in the devastation left in war's wake. World ideologies play little part in Asian thinking and are little understood. What the peoples strive for is the opportunity for a little more food in their stomachs, a little better clothing on their backs, a little firmer roof over their heads, and the realization of the normal nationalist urge for political freedom. These political-social conditions have but an indirect bearing upon our own national security, but do form a backdrop to contemporary planning which must be thoughtfully considered if we are to avoid the pitfalls of unrealism.",Neutral,Neutral,TRUE,Neutral,
359,"My administration must decide whether to allow federal funds, your tax dollars, to be used for scientific research on stem cells derived from human embryos.  A large number of these embryos already exist.  They are the product of a process called in vitro fertilization, which helps so many couples conceive children.  When doctors match sperm and egg to create life outside the womb, they usually produce more embryos than are planted in the mother.  Once a couple successfully has children, or if they are unsuccessful, the additional embryos remain frozen in laboratories.

Some will not survive during long storage; others are destroyed.  A number have been donated to science and used to create privately funded stem cell lines.  And a few have been implanted in an adoptive mother and born, and are today healthy children.",Neutral,Neutral,TRUE,Neutral,
360,"I remember in college under George Bush picking up those science books, leaning into compelling fields because I was concerned about having to preserve fact over demagoguery. And here we are again, where President Obama had 125 people serving in the White House Office of Science and Technology Policy because he believed fact-driven data-driven policy – policy that I was privileged enough to work on.

Our current president has barely put a person in that office, because it is evident he and his cabinet do not care about fact or a science-driven agenda. We could be leading a new space race to Mars but yet here I stand with you demanding to let our scientists be allowed to do their work without censorship from our own federal government.",Pessimistic,Pessimistic,TRUE,Pessimistic,
361,"He was given an ultimatum -- and he made his choice for war. And the result of that war was to rid a -- the world of a murderous dictator who menaced his people, invaded his neighbors, and declared America to be his enemy. Saddam Hussein, captured and jailed, is still the same raging tyrant -- only now without a throne. His power to harm a single man, woman, or child is gone forever. And the world is better for it.

Since the removal of Saddam, this war, like other wars in our history, has been difficult. The mission of American troops in urban raids and desert patrols, fighting Saddam loyalists and foreign terrorists, has brought danger and suffering and loss. This loss has caused sorrow for our whole nation -- and it has led some to ask if we are creating more problems than we're solving.",Pessimistic,Pessimistic,TRUE,Pessimistic,
